clothing_id,clothing_type,size,material,season,color,waist,chest,hip,length,activity_type,compression_level,moisture_wicking,breathability,elasticity,uv_protection,reflective_elements,pockets,inseam_length,waistband_type,fit_style,brand_name
55,Shorts,S,Spandex,Fall,White,36,0,34,28,Running,Medium,Yes,High,Low,No,No,3,0,Drawstring,Relaxed,Adidas
56,Shirt,XS,Nylon,Spring,Green,24,47,0,23,Weightlifting,Medium,No,Medium,High,Yes,Yes,1,1,Elastic,Regular,Nike
57,Tank Top,S,Wool,Spring,White,31,45,0,34,Running,High,Yes,Low,High,No,Yes,3,2,Elastic,Relaxed,Adidas
58,Jacket,XL,Wool,Fall,Red,26,49,46,28,Yoga,Medium,Yes,High,Low,Yes,Yes,0,1,Elastic,Regular,Adidas
59,Jacket,S,Spandex,Summer,Blue,31,40,38,27,Cycling,High,No,Low,Medium,No,Yes,1,4,Elastic,Relaxed,Adidas
60,Shirt,XS,Cotton,Winter,Blue,27,37,0,33,Weightlifting,Medium,No,High,Medium,Yes,No,2,1,Drawstring,Slim,Nike
61,Jacket,S,Wool,Fall,Black,39,33,41,28,Weightlifting,Medium,No,High,Medium,No,No,3,9,Elastic,Slim,Nike
62,Jacket,S,Polyester,Fall,Green,24,49,42,21,Cycling,Medium,Yes,High,High,Yes,No,0,4,Elastic,Relaxed,Nike
63,Shirt,XXL,Spandex,Summer,White,31,42,0,31,Yoga,Medium,No,Medium,Low,Yes,Yes,3,2,Elastic,Slim,Adidas
64,Tank Top,XXL,Spandex,Summer,Green,34,32,0,26,Cycling,Low,No,High,Low,No,Yes,1,6,Elastic,Slim,Nike
65,Shorts,S,Polyester,Fall,Blue,39,0,39,25,Yoga,Low,Yes,Low,Low,Yes,Yes,2,4,Drawstring,Relaxed,Nike
66,Leggings,S,Cotton,Spring,White,25,0,39,32,Running,Medium,No,High,Medium,Yes,No,0,8,Drawstring,Regular,Adidas
67,Tank Top,M,Silk,Summer,Green,34,32,0,25,Running,Medium,No,Medium,Medium,Yes,No,1,1,Elastic,Relaxed,Adidas
68,Jacket,XS,Polyester,Fall,White,31,34,35,23,Cycling,High,No,Medium,Low,Yes,No,3,5,Elastic,Relaxed,Nike
69,Shorts,L,Spandex,Spring,Green,32,0,48,31,Cycling,Medium,Yes,High,Medium,Yes,Yes,1,1,Drawstring,Relaxed,Nike
70,Shirt,XS,Spandex,Spring,White,29,48,0,35,Cycling,Low,No,Low,Medium,Yes,No,0,0,Elastic,Slim,Adidas
71,Shirt,XL,Cotton,Spring,Black,31,37,0,39,Weightlifting,Medium,Yes,Low,High,Yes,Yes,0,1,Drawstring,Slim,Adidas
72,Tank Top,XL,Nylon,Fall,White,28,36,0,25,Running,Low,No,Medium,High,Yes,Yes,3,8,Drawstring,Regular,Adidas
73,Tank Top,S,Nylon,Winter,Black,33,39,0,28,Cycling,Medium,Yes,High,High,Yes,Yes,3,9,Elastic,Slim,Nike
74,Jacket,XS,Polyester,Spring,Blue,31,49,45,27,Yoga,Low,No,Medium,Low,Yes,No,2,3,Elastic,Slim,Adidas
75,Jacket,XXL,Linen,Winter,Blue,36,32,47,35,Cycling,Low,Yes,High,Low,No,Yes,0,3,Drawstring,Slim,Adidas
76,Shirt,M,Polyester,Spring,Black,37,43,0,32,Yoga,Low,No,Low,Low,No,No,0,5,Drawstring,Relaxed,Adidas
77,Leggings,XL,Spandex,Spring,Blue,28,0,36,34,Running,Medium,Yes,Medium,Low,Yes,Yes,0,6,Elastic,Slim,Nike
78,Jacket,M,Nylon,Summer,Green,36,36,44,25,Running,High,No,Medium,Low,No,No,2,1,Drawstring,Slim,Adidas
79,Shirt,L,Polyester,Fall,Green,27,31,0,31,Weightlifting,High,Yes,Medium,High,Yes,Yes,0,8,Elastic,Relaxed,Adidas
80,Leggings,XL,Wool,Spring,Black,32,0,31,34,Yoga,Medium,No,Low,Medium,No,No,3,5,Drawstring,Regular,Nike
81,Shorts,L,Cotton,Winter,Blue,29,0,47,30,Cycling,Low,Yes,High,Medium,No,No,1,3,Drawstring,Slim,Adidas
82,Leggings,XL,Spandex,Summer,Red,32,0,39,27,Cycling,Low,Yes,Low,Medium,No,No,1,9,Elastic,Regular,Nike
83,Leggings,M,Wool,Fall,Black,37,0,45,30,Running,Medium,Yes,Low,Medium,Yes,Yes,3,6,Elastic,Slim,Nike
84,Leggings,XXL,Silk,Summer,Green,33,0,39,38,Weightlifting,Medium,No,High,Medium,Yes,No,3,2,Drawstring,Relaxed,Adidas
85,Leggings,M,Nylon,Fall,Red,29,0,37,36,Yoga,High,No,Low,High,No,No,1,2,Elastic,Relaxed,Adidas
86,Tank Top,XXL,Silk,Summer,White,28,39,0,34,Yoga,Low,No,High,Medium,No,Yes,3,3,Elastic,Relaxed,Adidas
87,Shorts,XS,Linen,Spring,Red,28,0,47,26,Running,High,No,Medium,High,Yes,No,3,5,Drawstring,Slim,Nike
88,Shirt,XL,Spandex,Spring,Green,31,31,0,39,Running,Low,Yes,High,Medium,No,Yes,0,5,Elastic,Slim,Adidas
89,Shorts,M,Polyester,Spring,Red,25,0,45,36,Weightlifting,High,No,High,Low,No,No,1,4,Drawstring,Slim,Adidas
90,Tank Top,XS,Linen,Spring,Green,25,44,0,31,Running,Medium,Yes,High,Low,No,Yes,2,3,Elastic,Slim,Adidas
91,Shirt,XS,Cotton,Fall,Red,37,30,0,26,Weightlifting,Low,Yes,High,Medium,No,No,2,1,Elastic,Regular,Adidas
92,Leggings,S,Spandex,Spring,Black,24,0,37,25,Yoga,Medium,Yes,Medium,Medium,No,Yes,3,3,Elastic,Regular,Nike
93,Tank Top,XL,Cotton,Winter,Blue,34,48,0,20,Weightlifting,Low,Yes,Medium,Low,Yes,No,3,1,Drawstring,Relaxed,Nike
94,Leggings,XXL,Nylon,Winter,Red,39,0,45,34,Yoga,Medium,No,Medium,High,No,Yes,0,6,Elastic,Regular,Adidas
95,Leggings,L,Nylon,Fall,Red,39,0,49,33,Cycling,High,Yes,Low,Low,Yes,No,2,1,Elastic,Slim,Nike
96,Shorts,S,Spandex,Fall,White,26,0,47,30,Cycling,High,Yes,Low,Medium,Yes,Yes,2,2,Drawstring,Relaxed,Adidas
97,Tank Top,S,Polyester,Summer,Green,27,45,0,38,Yoga,High,No,Low,High,Yes,Yes,1,6,Elastic,Regular,Nike
98,Leggings,XL,Wool,Winter,Green,38,0,39,22,Cycling,High,Yes,Medium,Medium,No,Yes,2,5,Drawstring,Relaxed,Nike
99,Shirt,L,Polyester,Fall,Black,24,49,0,37,Weightlifting,High,Yes,Medium,High,Yes,Yes,3,7,Drawstring,Slim,Adidas
100,Shirt,M,Wool,Fall,Red,30,45,0,24,Running,High,No,Low,Medium,Yes,Yes,0,0,Drawstring,Slim,Nike
101,Shorts,XS,Silk,Spring,Red,28,0,47,38,Cycling,High,Yes,Medium,Medium,Yes,Yes,0,1,Drawstring,Regular,Nike
102,Tank Top,M,Nylon,Winter,Green,26,36,0,31,Cycling,High,No,Low,Medium,Yes,No,3,6,Drawstring,Relaxed,Adidas
103,Shorts,S,Polyester,Winter,Red,28,0,45,24,Running,Low,Yes,Low,Medium,No,No,0,7,Drawstring,Slim,Adidas
104,Leggings,L,Cotton,Spring,Red,24,0,41,29,Cycling,Low,Yes,Medium,Medium,No,Yes,3,4,Drawstring,Slim,Adidas
105,Tank Top,XL,Wool,Winter,Black,29,32,0,27,Weightlifting,Medium,No,High,Low,No,Yes,2,2,Elastic,Slim,Adidas
106,Shirt,XL,Polyester,Winter,Red,34,30,0,22,Weightlifting,Medium,Yes,Low,Medium,No,No,2,8,Drawstring,Slim,Nike
107,Shorts,XXL,Silk,Summer,Green,28,0,48,20,Cycling,Low,No,Low,High,Yes,Yes,1,8,Elastic,Relaxed,Adidas
108,Jacket,S,Linen,Spring,White,24,31,34,38,Weightlifting,Medium,No,Medium,Low,Yes,Yes,2,3,Elastic,Regular,Nike
109,Tank Top,XS,Spandex,Winter,Black,24,30,0,29,Weightlifting,High,No,Medium,Low,Yes,Yes,3,8,Drawstring,Slim,Adidas
110,Tank Top,XS,Linen,Spring,Blue,30,46,0,22,Weightlifting,Low,No,Low,High,Yes,No,0,0,Drawstring,Regular,Adidas
111,Shorts,XL,Polyester,Spring,White,36,0,47,30,Yoga,Low,No,Low,Low,No,Yes,1,0,Elastic,Regular,Adidas
112,Shirt,XL,Polyester,Fall,Black,25,41,0,37,Cycling,High,Yes,Medium,Low,No,No,2,0,Drawstring,Regular,Nike
113,Jacket,XXL,Spandex,Winter,Green,37,49,38,22,Cycling,Medium,Yes,Medium,High,No,Yes,2,4,Drawstring,Regular,Nike
114,Leggings,S,Wool,Fall,White,35,0,36,26,Running,High,No,High,Low,Yes,Yes,0,2,Elastic,Slim,Adidas
115,Shorts,XL,Wool,Spring,Black,33,0,41,24,Weightlifting,High,No,Low,Medium,Yes,No,2,4,Drawstring,Regular,Adidas
116,Jacket,XS,Wool,Winter,Green,32,34,45,26,Yoga,High,No,Medium,Medium,No,Yes,0,8,Elastic,Relaxed,Adidas
117,Shorts,M,Cotton,Winter,Black,36,0,48,35,Weightlifting,Low,No,Low,Low,No,No,0,6,Elastic,Relaxed,Nike
118,Shorts,S,Silk,Winter,Black,32,0,49,34,Weightlifting,Medium,Yes,High,High,No,No,3,8,Drawstring,Slim,Nike
119,Jacket,XXL,Polyester,Spring,White,34,31,49,31,Cycling,High,No,Medium,High,No,Yes,1,4,Drawstring,Slim,Nike
120,Tank Top,XL,Spandex,Spring,White,37,43,0,27,Running,High,No,Medium,High,Yes,No,1,2,Drawstring,Slim,Nike
121,Shirt,XS,Nylon,Fall,White,34,45,0,38,Yoga,Low,No,High,Medium,Yes,Yes,1,9,Elastic,Slim,Adidas
122,Leggings,L,Silk,Summer,Blue,25,0,49,27,Cycling,High,Yes,High,Medium,No,Yes,3,7,Elastic,Regular,Adidas
123,Leggings,XS,Silk,Winter,Red,24,0,35,23,Running,High,No,High,High,Yes,Yes,2,3,Drawstring,Slim,Adidas
124,Shirt,XXL,Polyester,Spring,Green,25,34,0,31,Running,Low,No,Low,Low,No,Yes,3,5,Drawstring,Regular,Nike
125,Tank Top,M,Polyester,Summer,White,32,38,0,24,Cycling,High,No,Medium,High,Yes,No,2,8,Elastic,Slim,Nike
126,Shirt,XXL,Wool,Summer,Red,38,44,0,29,Running,High,Yes,Medium,Medium,Yes,No,2,9,Elastic,Slim,Nike
127,Shirt,S,Polyester,Winter,Red,34,39,0,36,Running,Low,Yes,Medium,Low,No,Yes,3,3,Drawstring,Regular,Adidas
128,Shorts,M,Spandex,Summer,Green,37,0,46,23,Cycling,Medium,No,High,Medium,Yes,No,0,6,Elastic,Regular,Nike
129,Shirt,XS,Spandex,Fall,Blue,31,31,0,32,Weightlifting,Low,No,Medium,Low,No,Yes,3,0,Elastic,Slim,Nike
130,Shorts,S,Wool,Winter,Blue,34,0,42,32,Weightlifting,High,No,Medium,Medium,No,No,2,0,Drawstring,Slim,Nike
131,Jacket,S,Spandex,Summer,Black,31,43,37,23,Running,Medium,Yes,High,High,Yes,No,2,8,Elastic,Relaxed,Nike
132,Shorts,XL,Spandex,Spring,Red,33,0,40,21,Yoga,Low,Yes,Medium,High,Yes,Yes,3,4,Elastic,Slim,Adidas
133,Tank Top,XS,Spandex,Fall,White,37,34,0,28,Yoga,Medium,Yes,Medium,High,No,No,2,9,Elastic,Slim,Adidas
134,Jacket,XS,Nylon,Summer,Red,35,45,41,23,Weightlifting,High,Yes,Medium,High,No,Yes,2,8,Drawstring,Regular,Nike
135,Shirt,XL,Wool,Spring,Black,29,33,0,36,Weightlifting,High,Yes,Low,High,Yes,Yes,0,6,Elastic,Relaxed,Adidas
136,Jacket,XL,Polyester,Fall,White,35,40,48,34,Running,High,Yes,Low,High,No,No,0,2,Elastic,Relaxed,Nike
137,Shirt,S,Silk,Fall,White,32,35,0,28,Yoga,High,No,Medium,Low,Yes,No,1,6,Drawstring,Relaxed,Adidas
138,Tank Top,S,Polyester,Fall,Black,35,34,0,28,Cycling,Low,Yes,Medium,High,No,Yes,1,7,Drawstring,Regular,Nike
139,Shirt,M,Nylon,Spring,Red,35,48,0,34,Yoga,High,Yes,High,High,Yes,Yes,0,2,Drawstring,Regular,Adidas
140,Jacket,L,Spandex,Spring,Blue,36,42,43,23,Running,Medium,No,High,Low,Yes,Yes,2,5,Drawstring,Regular,Adidas
141,Jacket,XS,Nylon,Summer,Red,37,30,47,33,Yoga,Low,Yes,Low,High,Yes,No,3,0,Elastic,Relaxed,Nike
142,Jacket,L,Wool,Winter,White,35,45,46,32,Yoga,High,Yes,Low,High,Yes,Yes,1,4,Drawstring,Regular,Adidas
143,Shorts,L,Cotton,Fall,Black,31,0,32,22,Cycling,Low,Yes,High,Low,Yes,No,2,8,Drawstring,Regular,Nike
144,Leggings,M,Spandex,Summer,Red,24,0,41,37,Yoga,High,Yes,High,Medium,Yes,No,1,4,Drawstring,Slim,Adidas
145,Leggings,S,Cotton,Spring,Red,25,0,44,38,Yoga,Low,No,High,High,No,No,3,3,Elastic,Regular,Adidas
146,Leggings,XL,Linen,Fall,Blue,34,0,45,21,Weightlifting,Medium,No,Low,Medium,Yes,No,3,7,Elastic,Slim,Adidas
147,Leggings,XXL,Polyester,Winter,Blue,32,0,43,35,Cycling,Medium,Yes,Medium,Low,Yes,No,2,0,Drawstring,Regular,Adidas
148,Jacket,XXL,Silk,Spring,White,39,46,42,35,Cycling,Medium,Yes,Medium,Medium,Yes,No,2,1,Drawstring,Relaxed,Adidas
149,Leggings,S,Spandex,Fall,Green,35,0,46,23,Weightlifting,High,No,Low,Low,Yes,No,1,6,Elastic,Regular,Adidas
150,Shorts,S,Wool,Spring,Green,28,0,37,29,Weightlifting,Medium,No,Medium,High,No,No,3,3,Drawstring,Regular,Nike
151,Shirt,M,Cotton,Winter,Red,25,47,0,35,Weightlifting,Low,No,Medium,High,No,Yes,3,6,Elastic,Slim,Nike
152,Shirt,S,Cotton,Fall,Blue,32,36,0,37,Yoga,Low,No,High,Low,No,No,3,9,Elastic,Slim,Adidas
153,Shorts,XL,Cotton,Fall,Green,36,0,46,21,Weightlifting,Medium,Yes,High,Low,No,No,2,6,Elastic,Regular,Nike
154,Leggings,L,Polyester,Fall,Red,32,0,44,35,Yoga,Low,Yes,High,High,Yes,Yes,2,3,Drawstring,Relaxed,Adidas
155,Shirt,XL,Nylon,Spring,White,39,43,0,38,Weightlifting,High,No,High,Medium,No,Yes,2,6,Drawstring,Slim,Adidas
156,Leggings,S,Nylon,Summer,Green,25,0,33,26,Yoga,Low,No,Low,High,No,No,1,2,Elastic,Slim,Adidas
157,Shorts,M,Cotton,Spring,Blue,24,0,36,25,Running,Low,Yes,Low,Medium,No,Yes,0,4,Drawstring,Regular,Adidas
158,Leggings,S,Silk,Spring,Red,29,0,33,34,Running,High,No,Medium,Medium,Yes,No,3,2,Elastic,Regular,Adidas
159,Tank Top,S,Cotton,Spring,White,39,34,0,20,Cycling,Medium,No,Medium,Medium,No,No,1,4,Elastic,Slim,Nike
160,Shorts,S,Spandex,Fall,Blue,39,0,42,36,Running,Low,No,High,High,Yes,No,0,7,Drawstring,Regular,Adidas
161,Shorts,M,Silk,Summer,Blue,24,0,40,24,Running,High,No,Medium,Low,Yes,Yes,1,9,Elastic,Regular,Nike
162,Leggings,M,Nylon,Spring,White,24,0,39,20,Cycling,Low,Yes,Low,Medium,Yes,No,2,0,Elastic,Relaxed,Nike
163,Leggings,L,Cotton,Summer,Blue,35,0,34,30,Weightlifting,Low,Yes,Medium,High,No,No,2,1,Elastic,Relaxed,Adidas
164,Tank Top,XXL,Wool,Winter,White,32,32,0,31,Cycling,Medium,No,Medium,Low,Yes,No,0,2,Drawstring,Slim,Nike
165,Leggings,XS,Linen,Fall,Black,28,0,38,35,Running,Low,Yes,Low,Low,Yes,No,2,5,Elastic,Relaxed,Nike
166,Tank Top,XXL,Linen,Spring,Blue,35,47,0,24,Running,Medium,Yes,Medium,Low,Yes,Yes,3,0,Elastic,Regular,Nike
167,Shorts,XL,Polyester,Summer,Black,37,0,38,24,Cycling,Medium,No,Medium,Low,No,Yes,0,2,Elastic,Regular,Adidas
168,Shorts,XS,Silk,Fall,Red,25,0,43,24,Yoga,Low,No,Medium,Low,No,Yes,1,9,Drawstring,Relaxed,Adidas
169,Shirt,L,Polyester,Winter,Red,31,37,0,30,Running,High,Yes,Medium,High,No,Yes,3,6,Elastic,Slim,Nike
170,Leggings,XXL,Polyester,Summer,Green,24,0,40,24,Running,Medium,Yes,Low,Medium,Yes,No,0,2,Drawstring,Slim,Nike
171,Shirt,L,Wool,Fall,Black,26,31,0,32,Running,High,No,Medium,High,Yes,No,0,6,Elastic,Relaxed,Adidas
172,Leggings,M,Wool,Fall,Blue,25,0,38,36,Cycling,Low,Yes,Low,Low,Yes,No,2,3,Elastic,Slim,Nike
173,Shirt,XL,Silk,Summer,Blue,37,42,0,23,Weightlifting,Low,Yes,Medium,Low,Yes,Yes,1,3,Elastic,Regular,Nike
174,Jacket,XS,Linen,Spring,Black,30,46,30,22,Weightlifting,Medium,Yes,High,Low,Yes,Yes,0,3,Drawstring,Slim,Adidas
175,Shorts,XS,Linen,Spring,White,38,0,35,20,Yoga,Medium,Yes,Medium,High,Yes,No,1,1,Drawstring,Regular,Adidas
176,Jacket,XL,Cotton,Winter,White,25,39,34,35,Yoga,High,Yes,Low,High,Yes,No,0,6,Elastic,Slim,Nike
177,Shorts,XXL,Silk,Winter,Black,24,0,38,28,Cycling,High,No,High,Medium,Yes,No,1,0,Elastic,Slim,Nike
178,Leggings,XS,Linen,Winter,Green,36,0,40,38,Cycling,High,No,High,Low,No,No,2,8,Elastic,Slim,Adidas
179,Leggings,XL,Linen,Spring,Blue,28,0,45,27,Cycling,Medium,Yes,Low,Medium,No,No,2,8,Drawstring,Regular,Adidas
180,Shirt,XXL,Silk,Fall,Red,33,31,0,35,Yoga,Low,Yes,Low,High,No,No,1,0,Drawstring,Regular,Nike
181,Shirt,XL,Wool,Spring,Blue,28,49,0,39,Running,Low,Yes,High,Low,No,Yes,2,4,Elastic,Slim,Nike
182,Leggings,XXL,Nylon,Winter,Green,30,0,33,23,Yoga,High,Yes,Low,High,Yes,Yes,1,0,Elastic,Slim,Nike
183,Shorts,XXL,Cotton,Spring,Blue,35,0,37,24,Yoga,High,No,Low,Low,Yes,Yes,3,7,Elastic,Regular,Adidas
184,Jacket,XXL,Cotton,Fall,Red,31,33,37,22,Running,Medium,No,High,High,No,Yes,0,0,Elastic,Relaxed,Nike
185,Leggings,XS,Silk,Fall,Black,26,0,38,36,Yoga,Low,Yes,Medium,Low,No,Yes,2,0,Elastic,Relaxed,Adidas
186,Leggings,XXL,Spandex,Summer,Black,30,0,39,31,Cycling,High,Yes,Low,High,Yes,Yes,1,2,Elastic,Slim,Adidas
187,Leggings,S,Nylon,Winter,Black,31,0,46,30,Yoga,Low,No,Low,Medium,No,No,3,7,Drawstring,Slim,Nike
188,Shorts,M,Spandex,Winter,White,36,0,30,26,Weightlifting,Low,Yes,Low,High,No,Yes,0,5,Elastic,Regular,Adidas
189,Shirt,XL,Silk,Winter,Green,32,36,0,38,Weightlifting,Low,Yes,High,Low,No,No,1,1,Drawstring,Relaxed,Adidas
190,Leggings,XS,Cotton,Winter,Red,27,0,45,39,Weightlifting,High,Yes,Low,High,No,No,2,9,Drawstring,Slim,Adidas
191,Shirt,M,Polyester,Winter,Red,27,40,0,30,Yoga,Medium,Yes,Low,Low,No,No,3,7,Drawstring,Relaxed,Adidas
192,Jacket,XXL,Wool,Fall,Blue,27,48,48,33,Yoga,High,No,Low,Low,Yes,Yes,3,7,Drawstring,Relaxed,Nike
193,Tank Top,L,Wool,Fall,Green,24,30,0,32,Cycling,High,No,Medium,Medium,Yes,Yes,1,6,Drawstring,Regular,Nike
194,Leggings,L,Spandex,Fall,Red,26,0,42,33,Running,Medium,Yes,High,High,No,Yes,2,3,Elastic,Relaxed,Adidas
